Фамилия;Имя;Отчество;Пол;Возраст;Стаж вождения;Марка автомобиля;Тип страхования;Легкое ДТП;Крупное ДТП;Угон, ДТП без востановления авто;Выплата, руб.
Козлов ;Максим;Никитич;муж;48;30;Hyundai Creta;частичное;0;0;0;0
Алексеева ;Камила;Елисеевна;жен;79;55;Lada Vesta;частичное;1;0;0;7500
Иванов;Дмитрий;Евгеньевич;муж;62;43;KIA Sportage;частичное;1;0;0;231724.9
Фролова;Милана;Матвеевна;жен;79;57;Skoda Rapid;частичное;0;0;0;0
Белов ;Илья;Никитич;муж;65;43;Lada Vesta;частичное;0;0;0;0
Васильева;Стася;Замировна;жен;32;12;Hyundai Solaris;частичное;0;0;0;0
Попов;Илья;Глебович;муж;23;4;Toyota RAV 4;частичное;0;0;0;0
Александров ;Глеб;Максимович;муж;30;10;KIA Rio;частичное;0;0;0;0
Морозова;Алиса;Егоровна;жен;35;14;Renault Kaptur;частичное;0;0;0;0
Петров;Арсений;Семенович;муж;52;30;Mazda CX-5;частичное;0;0;0;0
Соколов;Константин;Савельевич;муж;57;25;KIA Sportage;частичное;1;0;0;200079.6
Попов;Владимир;Матвеевич;муж;38;16;KIA Rio;полное;0;0;0;0
Кузьмина;Дарья;Замировна;жен;53;34;Lada Vesta;частичное;0;0;0;0
Лебедев ;Алексей;Даниилович;муж;57;39;Nissan Qashqai;частичное;1;0;0;27696.6
Романов ;Ярослав;Алексеевич;муж;32;9;Datsun on-DO;частичное;0;0;0;0
Козлов ;Арсений;Ярославович;муж;50;28;Renault Duster;частичное;0;0;0;0
Николаев ;Марк;Павлович;муж;49;27;VW Polo;частичное;0;0;0;0
Николаева ;Полина;Андреевна;жен;18;0;Skoda Octavia A7;частичное;1;0;0;45364.5
Васильев;Руслан;Александрович;муж;31;10;Hyundai Creta;частичное;0;0;0;0
Федоров ;Кирилл;Иванович;муж;35;15;Skoda Rapid;частичное;0;0;0;0
Смирнова;Есения;Руслановна;жен;40;16;Renault Duster;частичное;0;0;0;0
Морозова;Элина;Егоровна;жен;39;21;Renault Logan;полное;0;0;0;0
Соколов;Дмитрий;Захарович;муж;34;16;Renault Duster;частичное;1;0;0;10897.6
Лебедева;Ольга;Матвеевна;жен;31;10;Toyota RAV 4;полное;0;0;0;0
Иванов;Алексей;Захарович;муж;40;21;Renault Sandero;полное;0;0;0;0
Семенова ;Алиса;Константиновна;жен;31;3;Lada X-Ray;полное;0;0;0;0
Васильева;Алина;Марковна;жен;44;25;Hyundai Solaris;полное;0;0;0;0
Соловьев ;Тимур;Вадимович;муж;71;41;Lada Largus;полное;0;0;0;0
Соловьев ;Максим;Тимофеевич;муж;22;1;Lada Kalina;полное;0;0;0;0
Павлова;Александра;Дамировна;жен;43;25;Hyundai Solaris;частичное;1;0;0;45680.4
Романова ;Арина;Дмитриевна;жен;27;5;Lada Granta;полное;0;0;0;0
Павлов ;Александр;Елисеевич;муж;57;36;KIA Rio;частичное;0;0;0;0
Королев ;Семён;Арсеньевич;муж;19;0;Renault Duster;частичное;0;0;0;0
Борисов ;Антон;Матвеевич;муж;71;39;Lada X-Ray;частичное;0;0;0;0
Новиков;Денис;Константинович;муж;74;52;Chevrolet NIVA;частичное;0;0;0;0
Семенова ;Алиса;Богдановна;жен;43;24;Mazda CX-5;частичное;1;0;0;164633.5
Павлов ;Сергей;Давидович;муж;57;35;Hyundai Solaris;полное;0;0;0;0
Виноградова;Есения;Сергеевна;жен;60;38;Renault Duster;частичное;0;0;0;0
Андреев ;Тимур;Иванович;муж;57;28;KIA Sportage;частичное;0;0;0;0
Соловьева;Милена;Кирилловна;жен;27;7;Renault Duster;частичное;1;0;0;79440.4
Захаров ;Сергей;Марселевич;муж;61;42;Lada Vesta;частичное;0;0;0;0
Новиков;Владислав;Захарович;муж;42;18;KIA Rio;частичное;0;0;0;0
Попова;Анна;Аскаровна;жен;38;19;Hyundai Solaris;частичное;0;0;0;0
Воробьева;Екатерина;Алексеевна;жен;20;0;Skoda Octavia A7;частичное;0;0;0;0
Федорова;Марьяна;Сергеевна;жен;20;0;Renault Kaptur;частичное;0;0;0;0
Борисов ;Марк;Иванович;муж;20;0;KIA Rio;частичное;0;0;0;0
Кузьмин ;Замир;Кириллович;муж;63;40;Lada Vesta;полное;0;0;0;0
Михайлова;Алиса;Ильична;жен;66;42;Renault Kaptur;частичное;0;0;0;0
Соловьев ;Руслан;Романович;муж;86;65;VW Polo;полное;0;0;0;0
Степанова ;Милана;Матвеевна;жен;49;29;VW Polo;частичное;0;0;0;0
Смирнова;Арина;Владиславовна;жен;56;33;Lada Vesta;частичное;0;0;0;0
Соколов;Ярослав;Кириллович;муж;73;39;Nissan Qashqai;полное;0;0;0;0
Николаев ;Егор;Андреевич;муж;38;3;Chevrolet NIVA;полное;0;0;0;0
Григорьев ;Арсений;Владиславович;муж;31;7;Lada X-Ray;полное;0;0;0;0
Попов;Артём;Алексеевич;муж;65;38;Hyundai Solaris;частичное;0;0;0;0
Алексеев ;Георгий;Романович;муж;27;5;Chevrolet NIVA;частичное;0;0;0;0
Орлов ;Алексей;Маркович;муж;21;0;Skoda Octavia A7;частичное;0;0;0;0
Иванов;Никита;Демидович;муж;23;3;Renault Duster;частичное;1;0;0;19145.4
Сергеев ;Глеб;Александрович;муж;44;25;VW Polo;полное;1;0;0;9077.3
Морозова;Кира;Аскаровна;жен;31;11;Lada Largus;частичное;0;0;0;0
Кузнецова;Аделия;Алексеевна;жен;21;0;Nissan X-Trail;полное;1;0;0;15000
Морозова;Элина;Демидовна;жен;29;6;Lada Granta;частичное;0;0;0;0
Борисов ;Марк;Тимурович;муж;68;38;Chevrolet NIVA;частичное;1;0;0;38554.5
Николаева ;Мария;Глебовна;жен;51;33;KIA Rio;полное;0;0;0;0
Лебедева;Виктория;Михайловна;жен;32;9;Lada Granta;частичное;0;0;0;0
Кузнецов;Глеб;Ильич;муж;40;21;Lada Granta;частичное;0;0;0;0
Смирнова;Елена;Богдановна;жен;42;22;Lada X-Ray;частичное;0;0;0;0
Соколов;Захар;Павлович;муж;26;5;VW Polo;частичное;1;0;0;50724
Морозов ;Глеб;Замирович;муж;43;23;Hyundai Creta;полное;0;0;0;0
Яковлев ;Михаил;Алексеевич;муж;50;16;VW Polo;частичное;0;1;0;52165.8
Волкова;Милана;Тимофеевна;жен;42;22;Hyundai Creta;частичное;0;0;0;0
Кузнецова;Ева;Владимировна;жен;79;53;Hyundai Creta;частичное;0;0;0;0
Кузнецова;Кира;Арсеньевна;жен;23;0;KIA Rio;частичное;0;0;0;0
Макаров ;Максим;Максимович;муж;55;33;Renault Kaptur;частичное;0;0;0;0
Никитина;Юлия;Алексеевна;жен;59;27;KIA Rio;частичное;0;0;0;0
Андреев ;Егор;Максимович;муж;18;0;Mazda CX-5;полное;1;0;0;17254.8
Соколов;Кирилл;Никитич;муж;65;32;Lada Kalina;частичное;1;0;0;21793.3
Никитин ;Максим;Тимурович;муж;82;63;Hyundai Creta;частичное;0;0;0;0
Борисов ;Артём;Кириллович;муж;55;32;Renault Duster;частичное;0;0;0;0
Поляков ;Максим;Арсеньевич;муж;28;4;VW Polo;частичное;0;0;0;0
Соколов;Давид;Алексеевич;муж;44;16;Renault Sandero;частичное;0;0;0;0
Кузнецов;Владислав;Андреевич;муж;33;9;KIA Rio;полное;0;0;0;0
Егоров ;Ярослав;Елисеевич;муж;20;0;KIA Rio;частичное;1;0;0;49452.6
Соловьев ;Денис;Ильич;муж;39;15;Skoda Rapid;частичное;0;0;0;0
Волков ;Арсений;Романович;муж;65;47;Skoda Octavia A7;частичное;0;0;0;0
Борисова;Ульяна;Андреевна;жен;28;10;Renault Logan;частичное;0;0;0;0
Сорокин ;Матвей;Дмитриевич;муж;54;32;KIA Sportage;частичное;0;0;0;0
Смирнов;Замир;Максимович;муж;56;32;Hyundai Creta;полное;0;0;0;0
Лебедев ;Роман;Егорович;муж;61;40;Hyundai Solaris;частичное;0;0;0;0
Попова;София;Тимуровна;жен;29;9;KIA Rio;полное;0;0;0;0
Козлова;Вероника;Тимуровна;жен;55;34;Mazda CX-5;частичное;0;0;0;0
Попова;София;Романовна;жен;34;14;Nissan Qashqai;полное;0;0;0;0
Борисова;Софья;Кирилловна;жен;26;6;Toyota Camry;частичное;0;0;0;0
Петров;Андрей;Александрович;муж;47;21;Renault Sandero;полное;0;0;0;0
Яковлев ;Евгений;Дмитриевич;муж;30;2;KIA Rio;частичное;0;0;0;0
Иванов;Артём;Даниилович;муж;72;48;Lada Granta;частичное;0;0;0;0
Захаров ;Марк;Егорович;муж;52;22;Skoda Rapid;частичное;0;0;0;0
Андреев ;Игорь;Иванович;муж;30;7;Datsun on-DO;полное;0;0;0;0
Смирнов;Антон;Ярославович;муж;30;11;VW Polo;частичное;0;0;0;0
Смирнова;Амелия;Сергеевна;жен;42;14;Toyota Camry;частичное;0;0;0;0
Лебедев ;Марк;Арсеньевич;муж;50;25;Lada Granta;частичное;0;0;0;0
Новиков;Марсель;Владиславович;муж;67;35;Lada Granta;частичное;0;0;0;0
Федоров ;Богдан;Матвеевич;муж;64;39;Lada X-Ray;полное;1;0;0;40763.6
Петров;Даниил;Даниилович;муж;75;56;Lada Vesta;частичное;0;0;0;0
Антонов ;Георгий;Дмитриевич;муж;40;12;Toyota RAV 4;частичное;1;0;0;76681.1
Васильева;Милана;Михайловна;жен;20;0;KIA Sportage;полное;0;0;0;0
Соловьев ;Руслан;Дмитриевич;муж;78;55;Hyundai Solaris;частичное;0;0;0;0
Николаев ;Кирилл;Артемович;муж;31;9;Lada X-Ray;частичное;1;0;0;7500
Козлов ;Илья;Артемович;муж;23;0;Lada Vesta;частичное;0;0;0;0
Соловьев ;Александр;Ярославович;муж;37;15;Lada Vesta;частичное;0;0;0;0
Григорьев ;Дмитрий;Богданович;муж;58;36;Lada Granta;частичное;0;0;0;0
Николаева ;Есения;Руслановна;жен;72;41;KIA Rio;частичное;0;0;0;0
Лебедев ;Илья;Андреевич;муж;57;31;Lada Vesta;полное;0;0;0;0
Кузьмин ;Руслан;Владиславович;муж;52;25;Lada Vesta;частичное;0;0;0;0
Степанов ;Дмитрий;Кириллович;муж;46;15;Lada Vesta;частичное;1;0;0;7500
Фролова;Алина;Дмитриевна;жен;46;28;Renault Logan;полное;0;0;0;0
Смирнов;Никита;Владиславович;муж;72;23;Lada X-Ray;полное;0;0;0;0
Андреев ;Глеб;Аланович;муж;70;42;VW Polo;частичное;1;0;0;7500
Попов;Иван;Елисеевич;муж;42;18;Chevrolet NIVA;полное;0;0;0;0
Семенов ;Константин;Даниилович;муж;40;8;KIA Rio;частичное;0;0;0;0
Кузнецова;Милана;Евгеньевна;жен;36;16;Mazda CX-5;частичное;0;0;0;0
Алексеев ;Владислав;Арсеньевич;муж;79;61;Renault Kaptur;частичное;0;0;0;0
Семенова ;Стася;Богдановна;жен;52;29;Lada Granta;частичное;0;0;0;0
Фролова;Алина;Алексеевна;жен;30;4;VW Polo;частичное;0;0;0;0
Федоров ;Богдан;Арсеньевич;муж;36;2;Lada Granta;полное;0;0;0;0
Михайлов;Руслан;Маркович;муж;39;21;Lada Vesta;частичное;0;0;0;0
Лебедев ;Максим;Алексеевич;муж;18;0;Lada Vesta;частичное;0;0;0;0
Лебедев ;Михаил;Ильич;муж;25;2;Hyundai Solaris;частичное;0;0;0;0
Федоров ;Роман;Арсеньевич;муж;89;66;Skoda Octavia A7;полное;0;0;0;0
Павлов ;Михаил;Александрович;муж;69;48;KIA Rio;полное;0;0;0;0
Никитин ;Савелий;Маркович;муж;88;63;Lada Vesta;частичное;0;0;0;0
Зайцев ;Максим;Даниилович;муж;54;23;Lada Granta;полное;0;0;0;0
Козлова;Софья;Тимуровна;жен;57;37;Toyota RAV 4;частичное;0;0;0;0
Степанов ;Дмитрий;Сергеевич;муж;43;13;Lada Vesta;частичное;0;0;0;0
Соколов;Елисей;Матвеевич;муж;48;27;Renault Duster;полное;0;0;0;0
Алексеев ;Егор;Матвеевич;муж;22;0;Lada X-Ray;полное;1;0;0;20961.5
Максимова;Анна;Марковна;жен;26;4;Nissan X-Trail;частичное;0;0;0;0
Новиков;Дмитрий;Матвеевич;муж;66;45;Toyota Camry;частичное;0;0;0;0
Фролова;Кира;Артемовна;жен;57;30;VW Tiguan;частичное;0;0;0;0
Фролов ;Тимофей;Кириллович;муж;19;0;Hyundai Solaris;частичное;0;0;0;0
Волков ;Семён;Андреевич;муж;18;0;Hyundai Solaris;частичное;0;0;0;0
Лебедев ;Арсений;Вадимович;муж;28;8;Lada Vesta;частичное;1;0;0;14417.1
Соколова;Дарина;Андреевна;жен;19;0;Skoda Rapid;частичное;1;0;0;8177.9
Романов ;Арсений;Маркович;муж;63;40;Toyota RAV 4;полное;1;0;0;86787.4
Михайлов;Глеб;Максимович;муж;55;37;Skoda Octavia A7;полное;0;0;0;0
Кузьмин ;Андрей;Евгеньевич;муж;37;17;Skoda Octavia A7;частичное;0;0;0;0
Максимов ;Илья;Егорович;муж;45;25;Nissan X-Trail;частичное;0;0;0;0
Сергеев ;Михаил;Аланович;муж;25;3;Lada Granta;полное;0;0;0;0
Морозова;Вероника;Дамировна;жен;61;43;Datsun on-DO;частичное;0;0;0;0
Николаева ;Есения;Руслановна;жен;50;30;KIA Rio;частичное;0;0;0;0
Васильев;Дамир;Даниилович;муж;31;2;Chevrolet NIVA;частичное;0;0;0;0
Павлов ;Руслан;Арсеньевич;муж;47;26;KIA Sportage;полное;0;0;0;0
Соловьев ;Михаил;Даниилович;муж;64;42;Lada Granta;частичное;0;0;0;0
Соколов;Денис;Савельевич;муж;61;43;Hyundai Creta;полное;0;0;0;0
Смирнова;Стася;Егоровна;жен;39;20;Toyota RAV 4;полное;0;0;0;0
Макаров ;Никита;Кириллович;муж;32;9;Nissan X-Trail;частичное;1;0;0;39158.4
Николаев ;Никита;Владиславович;муж;28;7;Lada 4x4;полное;0;0;0;0
Попов;Даниил;Вадимович;муж;70;46;VW Tiguan;частичное;0;0;0;0
Семенова ;Полина;Глебовна;жен;28;9;Lada Granta;полное;1;0;0;35687.7
Яковлева;Алина;Егоровна;жен;30;11;VW Polo;полное;0;0;0;0
Егоров ;Никита;Иванович;муж;56;35;Nissan Qashqai;полное;1;0;0;166197.3
Степанов ;Алексей;Тимурович;муж;33;15;Skoda Rapid;частичное;0;0;0;0
Егоров ;Владислав;Дамирович;муж;18;0;Renault Sandero;полное;0;0;0;0
Григорьев ;Матвей;Константинович;муж;47;28;Lada Largus;частичное;0;1;0;262500
Смирнова;Мария;Алексеевна;жен;37;11;Lada 4x4;частичное;0;0;0;0
Морозова;Ульяна;Вадимовна;жен;20;0;Nissan Qashqai;частичное;1;0;0;186391.3
Егоров ;Богдан;Иванович;муж;23;3;Hyundai Creta;частичное;0;1;0;553666.8
Степанов ;Ярослав;Матвеевич;муж;51;33;Lada Vesta;частичное;0;0;0;0
Соловьева;Анна;Марковна;жен;43;20;Lada Vesta;частичное;0;0;0;0
Попов;Максим;Демидович;муж;36;18;Lada 4x4;частичное;0;0;0;0
Максимов ;Арсений;Дмитриевич;муж;64;42;Mazda CX-5;полное;0;0;0;0
Яковлев ;Елисей;Сергеевич;муж;29;8;VW Tiguan;частичное;1;0;0;80382.1
Сорокин ;Дмитрий;Тимофеевич;муж;62;43;Hyundai Creta;частичное;1;0;0;124605.6
Федорова;Алина;Данииловна;жен;58;35;Lada Kalina;частичное;0;0;0;0
Соколов;Дмитрий;Никитич;муж;30;8;Hyundai Solaris;частичное;0;0;0;0
Попова;Наталья;Демидовна;жен;30;2;Skoda Octavia A7;частичное;0;0;0;0
Ильин ;Алексей;Матвеевич;муж;19;0;Lada Granta;частичное;0;0;0;0
Михайлов;Алексей;Алексеевич;муж;34;9;Lada X-Ray;частичное;0;0;0;0
Егоров ;Кирилл;Сергеевич;муж;24;4;Hyundai Solaris;частичное;1;0;0;11135.4
Гусева;Полина;Сергеевна;жен;39;9;Skoda Rapid;частичное;1;0;0;55336.6
Кузнецов;Максим;Арсеньевич;муж;57;29;Lada Largus;полное;0;0;0;0
Васильев;Владислав;Кириллович;муж;28;4;Renault Kaptur;частичное;0;0;0;0
Петрова;Виктория;Кирилловна;жен;24;3;KIA Rio;частичное;0;0;0;0
Морозова;Милана;Владиславовна;жен;37;13;Lada 4x4;частичное;1;0;0;7500
Васильев;Михаил;Артемович;муж;59;29;KIA Rio;частичное;0;0;0;0
Михайлов;Арсений;Денисович;муж;44;25;Lada Vesta;частичное;0;0;0;0
Кузнецов;Дмитрий;Дамирович;муж;41;12;VW Polo;частичное;0;0;0;0
Смирнова;Карина;Захаровна;жен;44;18;Toyota Camry;частичное;0;0;0;0
Фролова;Мария;Матвеевна;жен;33;13;Lada Vesta;частичное;0;0;0;0
Лебедев ;Алан;Аскарович;муж;21;0;KIA Rio;частичное;0;0;0;0
Алексеев ;Даниил;Тимофеевич;муж;29;6;KIA Rio;частичное;0;0;0;0
Лебедева;Стася;Марковна;жен;69;41;KIA Rio;частичное;0;0;0;0
Воробьев ;Андрей;Александрович;муж;51;17;Lada Kalina;частичное;0;0;0;0
Смирнов;Владислав;Русланович;муж;25;1;KIA Rio;полное;1;0;0;23608.6
Белова;Марина;Демидовна;жен;31;3;Mazda CX-5;полное;1;0;0;15000
Ильин ;Арсений;Арсеньевич;муж;30;2;Lada Largus;частичное;1;0;0;21056.3
Соколов;Иван;Артемович;муж;35;12;Hyundai Creta;частичное;1;0;0;126642.1
Степанова ;София;Константиновна;жен;30;11;Chevrolet NIVA;полное;0;0;0;0
Федоров ;Арсений;Никитич;муж;67;48;Hyundai Solaris;частичное;0;0;0;0
Гусева;Карина;Никитична;жен;39;21;Renault Duster;полное;0;0;0;0
Григорьев ;Замир;Алексеевич;муж;64;46;Mazda CX-5;частичное;1;0;0;107645.8
Смирнов;Владислав;Михайлович;муж;31;11;Hyundai Solaris;частичное;0;0;0;0
Смирнов;Ярослав;Алексеевич;муж;85;61;Lada Vesta;частичное;0;0;0;0
Алексеев ;Илья;Денисович;муж;54;34;Lada Vesta;полное;0;0;0;0
Воробьев ;Глеб;Дамирович;муж;33;9;VW Tiguan;частичное;0;0;0;0
Павлова;Анна;Андреевна;жен;77;58;VW Polo;частичное;0;0;0;0
Никитина;Александра;Глебовна;жен;33;15;Renault Sandero;частичное;0;0;0;0
Павлова;Полина;Максимовна;жен;23;5;Lada Vesta;частичное;0;0;0;0
Королева;Элина;Глебовна;жен;22;0;Renault Duster;частичное;1;0;0;11500.9
Зайцева;Алёна;Никитична;жен;45;27;VW Polo;частичное;0;0;0;0
Яковлев ;Богдан;Иванович;муж;59;27;KIA Sportage;частичное;0;0;0;0
Попов;Замир;Богданович;муж;58;20;Skoda Rapid;частичное;0;0;0;0
Попов;Тимур;Богданович;муж;74;54;Skoda Rapid;частичное;0;0;0;0
Васильев;Игорь;Маркович;муж;39;15;Chevrolet NIVA;частичное;0;1;0;101849.4
Поляков ;Игорь;Алексеевич;муж;22;0;Toyota RAV 4;частичное;0;0;0;0
Лебедев ;Тимофей;Александрович;муж;52;18;Chevrolet NIVA;полное;0;0;0;0
Романова ;Арина;Дмитриевна;жен;38;17;Renault Sandero;частичное;0;0;0;0
Александрова ;Полина;Богдановна;жен;46;25;Lada Vesta;частичное;0;0;0;0
Егорова;Марьяна;Матвеевна;жен;30;10;Nissan Qashqai;полное;0;0;0;0
Борисова;Арина;Ильична;жен;43;21;Hyundai Solaris;полное;0;0;0;0
Иванов;Егор;Артурович;муж;36;3;Toyota RAV 4;частичное;0;0;0;0
Попова;Виктория;Замировна;жен;32;11;KIA Rio;частичное;0;0;0;0
Макаров ;Дмитрий;Матвеевич;муж;26;3;KIA Sportage;частичное;0;0;0;0
Орлова;Ульяна;Ивановна;жен;49;25;KIA Rio;частичное;0;0;0;0
Морозова;Дарина;Руслановна;жен;66;45;VW Polo;полное;0;0;0;0
Новикова;Елизавета;Максимовна;жен;24;6;Lada 4x4;частичное;0;0;0;0
Григорьев ;Евгений;Денисович;муж;36;9;Hyundai Creta;частичное;0;0;0;0
Виноградова;Арина;Егоровна;жен;72;54;Hyundai Solaris;частичное;0;0;0;0
Никитин ;Богдан;Русланович;муж;84;58;VW Tiguan;частичное;0;0;0;0
Сорокин ;Иван;Дмитриевич;муж;50;18;Lada Vesta;частичное;0;0;0;0
Попова;Диана;Ильична;жен;47;24;Renault Sandero;частичное;0;1;0;128277.7
Воробьева;Наталья;Константиновна;жен;18;0;Toyota Camry;полное;1;0;0;59572.2
Попов;Константин;Егорович;муж;65;32;Renault Duster;полное;0;0;0;0
Васильев;Максим;Тимурович;муж;63;31;Mazda CX-5;полное;0;0;0;0
Васильев;Даниил;Михайлович;муж;56;37;KIA Rio;частичное;0;0;0;0
Кузьмина;Мария;Аскаровна;жен;25;5;Lada X-Ray;частичное;0;0;0;0
Петров;Роман;Дмитриевич;муж;34;7;Lada 4x4;частичное;0;1;0;62078.7
Воробьев ;Кирилл;Кириллович;муж;41;19;KIA Rio;полное;0;0;0;0
Васильева;София;Андреевна;жен;67;40;Hyundai Solaris;частичное;0;0;0;0
Андреев ;Андрей;Богданович;муж;33;1;Hyundai Creta;полное;0;0;0;0
Смирнова;Юлия;Сергеевна;жен;21;0;Skoda Rapid;полное;1;0;0;77721.4
Борисов ;Тимур;Елисеевич;муж;67;46;Hyundai Creta;частичное;0;0;0;0
Федорова;Есения;Давидовна;жен;32;4;Lada Largus;полное;1;0;0;34278
Николаева ;Мария;Алексеевна;жен;43;23;Lada Largus;полное;0;0;0;0
Белова;Ева;Ильична;жен;36;16;Lada Granta;полное;0;0;0;0
Федоров ;Богдан;Иванович;муж;33;9;Nissan Qashqai;частичное;0;0;0;0
Новикова;Карина;Глебовна;жен;37;16;Renault Logan;частичное;0;0;0;0
Кузьмин ;Матвей;Давидович;муж;72;50;Nissan Qashqai;полное;0;0;0;0
Волков ;Арсений;Андреевич;муж;57;39;Lada Granta;частичное;1;0;0;8366.9
Алексеев ;Даниил;Тимофеевич;муж;84;64;Lada X-Ray;частичное;0;0;0;0
Васильев;Арсений;Тимофеевич;муж;39;7;Lada Vesta;частичное;0;0;0;0
Морозов ;Игорь;Владиславович;муж;35;8;Lada Vesta;частичное;0;0;0;0
Семенов ;Егор;Аланович;муж;36;17;Mazda CX-5;частичное;0;0;0;0
Ильин ;Савелий;Вячеславович;муж;39;16;Skoda Rapid;частичное;0;0;0;0
Козлов ;Владислав;Тимурович;муж;33;15;Lada Vesta;частичное;0;0;0;0
Лебедев ;Егор;Дмитриевич;муж;36;18;Lada Vesta;полное;0;0;0;0
Лебедев ;Арсений;Иванович;муж;19;0;Lada X-Ray;частичное;0;0;0;0
Ильин ;Александр;Глебович;муж;43;18;Lada X-Ray;частичное;0;0;0;0
Новикова;Наталья;Евгеньевна;жен;43;9;Renault Kaptur;частичное;0;0;0;0
Николаева ;Ольга;Максимовна;жен;52;28;Skoda Rapid;частичное;0;0;0;0
Кузнецова;Анна;Богдановна;жен;37;14;Lada Vesta;частичное;0;0;0;0
Орлов ;Тимофей;Алексеевич;муж;44;23;KIA Rio;частичное;1;0;0;7500
Морозов ;Тимур;Михайлович;муж;32;6;KIA Rio;частичное;0;0;0;0
Павлов ;Демид;Артемович;муж;33;13;Toyota RAV 4;частичное;1;0;0;300000
Михайлов;Андрей;Артемович;муж;47;26;Hyundai Creta;частичное;0;0;0;0
Новиков;Евгений;Даниилович;муж;48;27;KIA Rio;частичное;0;0;0;0
Кузьмина;Алина;Романовна;жен;29;2;Hyundai Creta;полное;1;0;0;17410.9
Романов ;Замир;Тимофеевич;муж;21;0;VW Tiguan;полное;0;1;0;644386.6
Николаев ;Роман;Дмитриевич;муж;60;41;Toyota Camry;полное;0;0;0;0
Степанова ;Юлия;Кирилловна;жен;65;47;Renault Sandero;частичное;1;0;0;110244.1
Козлов ;Сергей;Марселевич;муж;33;15;Chevrolet NIVA;полное;0;0;0;0
Новикова;Дарья;Романовна;жен;55;33;Hyundai Solaris;частичное;0;0;0;0
Соколова;Ирина;Демидовна;жен;48;16;Lada Kalina;частичное;0;0;0;0
Соколов;Замир;Матвеевич;муж;63;37;Hyundai Solaris;полное;0;0;0;0
Королев ;Евгений;Арсеньевич;муж;58;35;KIA Rio;полное;0;0;0;0
Соловьева;Полина;Глебовна;жен;35;14;Nissan X-Trail;полное;0;0;0;0
Козлова;Ева;Ильична;жен;43;22;VW Tiguan;частичное;0;0;0;0
Петрова;Есения;Артемовна;жен;22;4;Lada Largus;частичное;1;0;0;16322.9
Королева;Стася;Дмитриевна;жен;37;16;Hyundai Creta;полное;0;0;0;0
Васильев;Иван;Алексеевич;муж;57;39;Lada Vesta;частичное;0;0;0;0
Михайлов;Демид;Кириллович;муж;53;35;Lada Largus;частичное;1;0;0;42600.3
Федоров ;Александр;Алексеевич;муж;21;0;KIA Rio;частичное;1;0;0;75132.2
Федорова;Камила;Михайловна;жен;19;0;KIA Rio;частичное;0;0;0;0
Алексеев ;Александр;Евгеньевич;муж;23;5;KIA Sportage;полное;1;0;0;121051.4
Алексеева ;Полина;Глебовна;жен;48;24;Lada Granta;частичное;1;0;0;75000
Борисов ;Арсений;Артемович;муж;51;30;Skoda Octavia A7;частичное;0;0;0;0
Васильева;Кира;Ивановна;жен;39;19;KIA Sportage;полное;0;0;0;0
Кузнецов;Денис;Денисович;муж;28;4;VW Tiguan;частичное;0;0;0;0
Орлов ;Максим;Константинович;муж;49;29;Lada Vesta;частичное;0;0;0;0
Николаев ;Никита;Алексеевич;муж;22;0;Lada Largus;частичное;0;0;0;0
Борисов ;Александр;Богданович;муж;51;28;KIA Rio;полное;0;0;0;0
Андреев ;Семён;Замирович;муж;40;10;Renault Sandero;полное;0;0;0;0
Волкова;Алина;Богдановна;жен;56;32;Lada Granta;полное;0;0;0;0
Максимова;Есения;Романовна;жен;50;29;Datsun on-DO;частичное;1;0;0;29728.4
Николаева ;Дарья;Ярославовна;жен;47;28;Mazda CX-5;частичное;0;0;0;0
Михайлов;Артур;Матвеевич;муж;21;0;KIA Sportage;частичное;0;0;0;0
Васильева;Полина;Богдановна;жен;60;36;Renault Kaptur;полное;0;0;0;0
Дмитриева;Марьяна;Руслановна;жен;82;62;Lada Largus;полное;0;0;0;0
Яковлев ;Демид;Егорович;муж;40;13;Lada Largus;полное;1;0;0;23173.4
Новиков;Илья;Савельевич;муж;33;10;Skoda Octavia A7;полное;0;0;0;0
Васильева;Марьяна;Дамировна;жен;43;20;VW Polo;частичное;0;0;0;0
Семенова ;Арина;Демидовна;жен;21;0;Nissan X-Trail;частичное;1;0;0;56889.8
Петров;Александр;Даниилович;муж;50;21;Lada Largus;полное;0;0;0;0
Иванов;Илья;Дмитриевич;муж;49;26;Lada Largus;частичное;0;0;0;0
Гусев ;Савелий;Кириллович;муж;32;13;Toyota RAV 4;частичное;0;0;0;0
Сергеев ;Дмитрий;Захарович;муж;60;42;Lada Vesta;частичное;0;0;0;0
Козлов ;Демид;Захарович;муж;62;36;Renault Logan;частичное;0;0;0;0
Кузнецов;Вадим;Богданович;муж;23;1;Lada Granta;частичное;0;0;0;0
Зайцева;Арина;Евгеньевна;жен;45;24;VW Polo;частичное;0;0;0;0
Федорова;Вероника;Тимуровна;жен;55;34;Nissan Qashqai;частичное;0;0;0;0
Романов ;Владислав;Константинович;муж;38;14;Renault Sandero;частичное;0;0;0;0
Иванов;Дмитрий;Михайлович;муж;49;27;Chevrolet NIVA;полное;0;0;1;1605334.2
Смирнова;Виктория;Демидовна;жен;68;45;Hyundai Solaris;частичное;0;0;0;0
Степанова ;Дарина;Егоровна;жен;44;25;Lada Largus;полное;0;0;0;0
Иванова;Арина;Андреевна;жен;52;34;Hyundai Solaris;частичное;1;0;0;75352.1
